cord_uid,doi,sha,pdf_json_files,pmc_json_files,title,trigger_terms,appositive_phrases
bcf3eliz,10.1007/s00415-020-10178-x,,,,Efficacy of acupuncture for migraine prophylaxis: a trial sequential meta-analysis.,meta-analysis,Efficacy of acupuncture for migraine prophylaxis: a trial sequential meta-analysis
sjc9bmat,10.1136/tobaccocontrol-2021-056717,,,,Associations of tobacco retailer density and proximity with adult tobacco use behaviours and health outcomes: a meta-analysis.,meta-analysis,Associations of tobacco retailer density and proximity with adult tobacco use behaviours and health outcomes: a meta-analysis
w9bzaov9,10.1002/ehf2.12974,,,,Efficacy and safety of sacubitril-valsartan in heart failure: a meta-analysis of randomized controlled trials.,meta-analysis,Efficacy and safety of sacubitril-valsartan in heart failure: a meta-analysis
z3rfy4bz,10.1177/1747493019879655,,,,Fluoxetine for stroke recovery: Meta-analysis of randomized controlled trials.,Meta-analysis,Fluoxetine for stroke recovery: Meta-analysis
fah2veak,10.1136/bmj.k949,,,,"Endovascular treatment for acute ischaemic stroke in routine clinical practice: prospective, observational cohort study (MR CLEAN Registry).",Registry,", observational cohort study (MR CLEAN Registry"
ro65ujpb,10.1213/ane.0000000000005671,,,,Inflammatory Biomarker Levels After Propofol or Sevoflurane Anesthesia: A Meta-analysis.,Meta-analysis,Inflammatory Biomarker Levels After Propofol or Sevoflurane Anesthesia: A Meta-analysis
oib13teq,10.1111/ane.13476,,,,In-hospital systems interventions in acute stroke reperfusion therapy: a meta-analysis.,meta-analysis,-hospital systems interventions in acute stroke reperfusion therapy: a meta-analysis
jbhze1c6,10.1136/archdischild-2020-319791,,,,Incidence of SARS-CoV-2 vertical transmission: a meta-analysis.,meta-analysis,Incidence of SARS-CoV-2 vertical transmission: a meta-analysis
c6dr3v31,10.4314/ahs.v20i4.34,,,,Association between APOC3 polymorphisms and non-alcoholic fatty liver disease risk: a meta-analysis.,meta-analysis,Association between APOC3 polymorphisms and non-alcoholic fatty liver disease risk: a meta-analysis
xdwy5vho,10.1111/liv.14658,,,,Normal Liver Stiffness and Influencing Factors in Healthy Children: An Individual Participant Data Meta-analysis.,Individual Participant Data Meta-analysis; Meta-analysis,Normal Liver Stiffness and Influencing Factors in Healthy Children: An Individual Participant Data Meta-analysis
hwek68ha,10.1186/s12871-020-01147-y,,,,Efficacy of non-opioid analgesics to control postoperative pain: a network meta-analysis.,meta-analysis,Efficacy of non-opioid analgesics to control postoperative pain: a network meta-analysis
ocbhfak8,10.1111/resp.14150_13,,,,P1-13: Effect of bromhexine among COVID-19 patients - A meta-analysis.,meta-analysis,-13: Effect of bromhexine among COVID-19 patients - A meta-analysis
soggmwfc,10.3389/fneur.2018.00801,,,,First-Line A Direct Aspiration First-Pass Technique vs. First-Line Stent Retriever for Acute Ischemic Stroke Therapy: A Meta-Analysis.,Meta-Analysis,First-Pass Technique vs. First-Line Stent Retriever for Acute Ischemic Stroke Therapy: A Meta-Analysis
efsc1nlw,10.2105/ajph.2007.124610,,,,Effect of hand hygiene on infectious disease risk in the community setting: a meta-analysis.,meta-analysis,Effect of hand hygiene on infectious disease risk in the community setting: a meta-analysis
8sbcqiml,10.1007/s00132-019-03710-z,,,,Percutaneous endoscopic lumbar discectomy for LDH via a transforaminal approach versus an interlaminar approach: a meta-analysis.,meta-analysis,versus an interlaminar approach: a meta-analysis
44lgjd2g,10.1007/s00384-012-1537-0,,,,Single-incision laparoscopic colectomy versus conventional multiport laparoscopic colectomy: a meta-analysis of comparative studies.,meta-analysis,-incision laparoscopic colectomy versus conventional multiport laparoscopic colectomy: a meta-analysis
66bfaj9a,10.1016/j.genhosppsych.2020.04.001,,,,The prevalence of depression in men who have sex with men (MSM) living with HIV: A meta-analysis of comparative and epidemiological studies.,meta-analysis,The prevalence of depression in men who have sex with men (MSM) living with HIV: A meta-analysis
k7smwz6w,10.1002/aur.2499,,,,Prenatal maternal infection and risk for autism in offspring: A meta-analysis.,meta-analysis,Prenatal maternal infection and risk for autism in offspring: A meta-analysis
pgxb665h,10.1186/s12877-020-01741-2,,,,The protocol of a clinical quality registry for dementia and mild cognitive impairment (MCI): the Australian dementia network (ADNeT) Registry.,Registry,a clinical quality registry for dementia and mild cognitive impairment (MCI): the Australian dementia network (ADNeT) Registry
78g9codr,10.1111/ijcp.14739,,,,Pneumococcal vaccine effect on hospitalization rates of pneumonia in children: A meta-analysis.,meta-analysis,Pneumococcal vaccine effect on hospitalization rates of pneumonia in children: A meta-analysis
g5ftdku9,10.1001/jamacardio.2020.4511,,,,Association of SGLT2 Inhibitors With Cardiovascular and Kidney Outcomes in Patients With Type 2 Diabetes: A Meta-analysis.,Meta-analysis,Association of SGLT2 Inhibitors With Cardiovascular and Kidney Outcomes in Patients With Type 2 Diabetes: A Meta-analysis
0oovv137,10.1001/jamaneurol.2018.4510,,,,Association of Time From Stroke Onset to Groin Puncture With Quality of Reperfusion After Mechanical Thrombectomy: A Meta-analysis of Individual Patient Data From 7 Randomized Clinical Trials.,Meta-analysis,Association of Time From Stroke Onset to Groin Puncture With Quality of Reperfusion After Mechanical Thrombectomy: A Meta-analysis
tcv1hyrv,10.1136/bmjopen-2018-026925,,,,Delayed antibiotic prescribing for respiratory tract infections: protocol of an individual patient data meta-analysis.,meta-analysis,Delayed antibiotic prescribing for respiratory tract infections: protocol of an individual patient data meta-analysis
g5hqz42w,10.1007/s10741-018-9695-y,,,,Exercise rehabilitation in ventricular assist device recipients: a meta-analysis of effects on physiological and clinical outcomes.,meta-analysis,Exercise rehabilitation in ventricular assist device recipients: a meta-analysis
kihi0kre,10.5603/cj.a2021.0060,,,,Observational analysiS of out-of-hospital Cardiac Arrest occurRence and temporal variability patterns in subpopulation of southern POLand from 2006 to 2018: OSCAR-POL registry.,registry,Observational analysiS of out-of-hospital Cardiac Arrest occurRence and temporal variability patterns in subpopulation of southern POLand from 2006 to 2018: OSCAR-POL registry
k311agia,10.1155/2020/7097243,,,,Efficiency of High-Flow Nasal Cannula on Pulmonary Rehabilitation in COPD Patients: A Meta-Analysis.,Meta-Analysis,Efficiency of High-Flow Nasal Cannula on Pulmonary Rehabilitation in COPD Patients: A Meta-Analysis
ccdfwa6n,10.1007/s00405-020-06305-z,,,,Association between the 4G/5G polymorphism of plasminogen activator inhibitor-1 (PAI-1) gene and sudden sensorineural hearing loss in Caucasian population: a meta-analysis.,meta-analysis,Association between the 4G/5G polymorphism of plasminogen activator inhibitor-1 (PAI-1) gene and sudden sensorineural hearing loss in Caucasian population: a meta-analysis
hmk6ksur,10.2967/jnumed.113.135855,,,,The efficacy of hepatic 90Y resin radioembolization for metastatic neuroendocrine tumors: a meta-analysis.,meta-analysis,The efficacy of hepatic 90Y resin radioembolization for metastatic neuroendocrine tumors: a meta-analysis
9jszy2xf,10.1245/s10434-020-09313-9,,,,Diagnostic Accuracy of Nipple Aspirate Fluid Cytology in Asymptomatic Patients: A Meta-analysis and Systematic Review of the Literature.,Meta-analysis,Diagnostic Accuracy of Nipple Aspirate Fluid Cytology in Asymptomatic Patients: A Meta-analysis
1fwzhrv6,10.1007/s11605-022-05338-5,,,,Effectiveness of Roux-en-Y Gastric Bypass vs Sleeve Gastrectomy on Lipid Levels in Type 2 Diabetes: a Meta-analysis.,Meta-analysis,Effectiveness of Roux-en-Y Gastric Bypass vs Sleeve Gastrectomy on Lipid Levels in Type 2 Diabetes: a Meta-analysis
2xwy3skg,10.1016/s1474-4422(17)30407-6,,,,Effect of general anaesthesia on functional outcome in patients with anterior circulation ischaemic stroke having endovascular thrombectomy versus standard care: a meta-analysis of individual patient data.,meta-analysis,Effect of general anaesthesia on functional outcome in patients with anterior circulation ischaemic stroke having endovascular thrombectomy versus standard care: a meta-analysis
ggyp83yf,10.1017/thg.2021.27,,,,Genetic Susceptibility to Pneumonia: A GWAS Meta-Analysis Between the UK Biobank and FinnGen.,Meta-Analysis,Genetic Susceptibility to Pneumonia: A GWAS Meta-Analysis
9fr2srih,10.1016/s0140-6736(16)00163-x,,,,Endovascular thrombectomy after large-vessel ischaemic stroke: a meta-analysis of individual patient data from five randomised trials.,meta-analysis,-vessel ischaemic stroke: a meta-analysis
jwawk6vh,10.1007/s00464-017-5487-z,,,,The use of expanding ports in laparo-endoscopic single-site surgery may cause more pain: a meta-analysis of randomized clinical trials.,meta-analysis,The use of expanding ports in laparo-endoscopic single-site surgery may cause more pain: a meta-analysis
xrz8iyfh,10.1080/02770903.2021.1881970,,,,"Asthma and COVID-19; different entities, same outcome: A meta-analysis of 107,983 patients.",meta-analysis,"Asthma and COVID-19; different entities, same outcome: A meta-analysis"
chb5zhyu,10.1186/s12866-020-01825-4,,,,Effect of donor-recipient relatedness on the plasmid conjugation frequency: a meta-analysis.,meta-analysis,Effect of donor-recipient relatedness on the plasmid conjugation frequency: a meta-analysis
b17obgty,10.1093/rheumatology/keaa286,,,,Comment on: Cytopenias among patients with rheumatic diseases using methotrexate: a meta-analysis of randomized controlled clinical trials.,meta-analysis,Comment on: Cytopenias among patients with rheumatic diseases using methotrexate: a meta-analysis
q2g2dorl,10.1038/s41598-021-03778-8,,,,Long-term macrolide treatment for non-cystic fibrosis bronchiectasis in children: a meta-analysis.,meta-analysis,-term macrolide treatment for non-cystic fibrosis bronchiectasis in children: a meta-analysis
hoe4z6mx,10.1155/2020/6748530,,,,Treatment of Diabetic Foot with Autologous Stem Cells: A Meta-Analysis of Randomized Studies.,Meta-Analysis,Treatment of Diabetic Foot with Autologous Stem Cells: A Meta-Analysis
tsatvmy6,10.1177/1524838020967346,,,,"Effectiveness of Digital Health Interventions on Unintentional Injury, Violence, and Suicide: Meta-Analysis.",Meta-Analysis,"Effectiveness of Digital Health Interventions on Unintentional Injury, Violence, and Suicide: Meta-Analysis"
d8d66dal,10.3340/jkns.2017.0505.006,,,,Endovascular Treatment with Intravenous Thrombolysis versus Endovascular Treatment Alone for Acute Anterior Circulation Stroke : A Meta-Analysis of Observational Studies.,Meta-Analysis,Endovascular Treatment with Intravenous Thrombolysis versus Endovascular Treatment Alone for Acute Anterior Circulation Stroke : A Meta-Analysis
byk05isz,10.1542/peds.2016-2454,,,,Fruit Juice and Change in BMI: A Meta-analysis.,Meta-analysis,Fruit Juice and Change in BMI: A Meta-analysis
cieir5ep,10.15252/msb.20209698,,,,CEN-tools: an integrative platform to identify the contexts of essential genes.,platform,CEN-tools: an integrative platform
s5d7y6y9,10.1007/s00590-021-03028-7,,,,Correction to: Quadriceps tendon autograft for primary ACL reconstruction: a Bayesian network meta-analysis.,meta-analysis,: Quadriceps tendon autograft for primary ACL reconstruction: a Bayesian network meta-analysis
pc450n2z,10.1161/strokeaha.120.033246,,,,Cerebral Edema in Patients With Large Hemispheric Infarct Undergoing Reperfusion Treatment: A HERMES Meta-Analysis.,Meta-Analysis,Cerebral Edema in Patients With Large Hemispheric Infarct Undergoing Reperfusion Treatment: A HERMES Meta-Analysis
7nw1wr50,10.1542/peds.2017-1645,,,,Attention-Deficit/Hyperactivity Disorder and Very Preterm/Very Low Birth Weight: A Meta-analysis.,Meta-analysis,Very Low Birth Weight: A Meta-analysis
4xq5r69a,10.3174/ajnr.a6002,,,,Treatment of Unruptured Distal Anterior Circulation Aneurysms with Flow-Diverter Stents: A Meta-Analysis.,Meta-Analysis,Treatment of Unruptured Distal Anterior Circulation Aneurysms with Flow-Diverter Stents: A Meta-Analysis
cs18hefu,10.1007/s11695-020-04437-z,,,,Comparison of Single-Incision and Conventional Laparoscopic Sleeve Gastrectomy for Morbid Obesity: a Meta-Analysis.,Meta-Analysis,Comparison of Single-Incision and Conventional Laparoscopic Sleeve Gastrectomy for Morbid Obesity: a Meta-Analysis
yvbajg3b,10.1016/j.surge.2021.02.008,,,,The efficacy of remote virtual care in comparison to traditional clinical visits for elective orthopaedic patients: A meta-analysis of prospective randomised controlled trials.,meta-analysis,The efficacy of remote virtual care in comparison to traditional clinical visits for elective orthopaedic patients: A meta-analysis
htgcwx71,10.1097/mbc.0000000000000927,,,,D-Dimer serum levels as a biomarker associated for the lethality in patients with coronavirus disease 2019: a meta-analysis.,meta-analysis,-Dimer serum levels as a biomarker associated for the lethality in patients with coronavirus disease 2019: a meta-analysis
0u6b5ba8,10.1002/bmb.21523,,,,Comparison of the influence of massive open online courses and traditional teaching methods in medical education in China: A meta-analysis.,meta-analysis,Comparison of the influence of massive open online courses and traditional teaching methods in medical education in China: A meta-analysis
kma8fbsg,10.1080/10810730.2022.2044941,,,,Interventions to Mitigate Vaping Misinformation: A Meta-Analysis.,Meta-Analysis,Interventions to Mitigate Vaping Misinformation: A Meta-Analysis
p0avlryd,10.1542/peds.2017-0352,,,,Parent-Child Interaction Therapy: A Meta-analysis.,Meta-analysis,-Child Interaction Therapy: A Meta-analysis
2yf4s197,10.1093/nar/gkaa850,,,,LncExpDB: an expression database of human long non-coding RNAs.,database,LncExpDB: an expression database
lk9egxcy,10.1111/den.12399,,,,Dexmedetomidine versus midazolam for gastrointestinal endoscopy: a meta-analysis.,meta-analysis,Dexmedetomidine versus midazolam for gastrointestinal endoscopy: a meta-analysis
7r8457ys,10.1002/pon.5261,,,,The Effectiveness of Distance-based Interventions for Smoking Cessation and Alcohol Moderation Among Cancer Survivors: a Meta-Analysis.,Meta-Analysis,The Effectiveness of Distance-based Interventions for Smoking Cessation and Alcohol Moderation Among Cancer Survivors: a Meta-Analysis
1tmgdru1,10.1016/j.phrs.2020.105192,,,,"Renal protective effects of astragaloside IV, in diabetes mellitus kidney damage animal models: A systematic review, meta-analysis.",meta-analysis,": A systematic review, meta-analysis"
724ooba3,10.1093/nar/gky965,,,,CMAUP: a database of collective molecular activities of useful plants.,database,CMAUP: a database
hq94gjvg,10.3174/ajnr.a5030,,,,Flow Diversion in Ruptured Intracranial Aneurysms: A Meta-Analysis.,Meta-Analysis,Flow Diversion in Ruptured Intracranial Aneurysms: A Meta-Analysis
f8mjob80,10.1097/mcg.0000000000001552,,,,Association Between Gastroesophageal Flap Valve and Endoscopically Diagnosed Gastroesophageal Reflux Disease According to Lyon Consensus: A Meta-analysis of Asian Studies.,Meta-analysis,Association Between Gastroesophageal Flap Valve and Endoscopically Diagnosed Gastroesophageal Reflux Disease According to Lyon Consensus: A Meta-analysis
xz2pnfho,10.12688/f1000research.36396.2,,,,Association between convalescent plasma and the risk of mortality among patients with COVID-19: a meta-analysis.,meta-analysis,Association between convalescent plasma and the risk of mortality among patients with COVID-19: a meta-analysis
2h9qsmzl,10.1093/scan/nsab043,,,,Sexual Dimorphism in Hemispheric Processing of Faces in Humans: A Meta-Analysis of 817 Cases.,Meta-Analysis,Sexual Dimorphism in Hemispheric Processing of Faces in Humans: A Meta-Analysis
8ei7rfvm,10.1161/hypertensionaha.120.15997,,,,"Associations Between Systolic Interarm Differences in Blood Pressure and Cardiovascular Disease Outcomes and Mortality: Individual Participant Data Meta-Analysis, Development and Validation of a Prognostic Algorithm: The INTERPRESS-IPD Collaboration.",Individual Participant Data Meta-Analysis; Meta-Analysis,Associations Between Systolic Interarm Differences in Blood Pressure and Cardiovascular Disease Outcomes and Mortality: Individual Participant Data Meta-Analysis
su4us5qv,10.1002/ccd.25507,,,,Outcomes of preoperative bridging therapy for patients undergoing surgery after coronary stent implantation: a weighted meta-analysis of 280 patients from eight studies.,meta-analysis,Outcomes of preoperative bridging therapy for patients undergoing surgery after coronary stent implantation: a weighted meta-analysis
pkmuz6u2,10.4314/ahs.v21i1.2,,,,The efficacy of dapagliflozin for type 1 diabetes: a meta-analysis of randomized controlled studies.,meta-analysis,for type 1 diabetes: a meta-analysis
io4ksznf,10.1161/strokeaha.115.012360,,,,Safety and Efficacy of Solitaire Stent Thrombectomy: Individual Patient Data Meta-Analysis of Randomized Trials.,Meta-Analysis,Safety and Efficacy of Solitaire Stent Thrombectomy: Individual Patient Data Meta-Analysis
bjyy74by,10.21037/jgo.2019.01.02,,,,Optimal radiation dosing in concurrent neoadjuvant chemoradiation for resectable esophageal cancer: a meta-analysis.,meta-analysis,Optimal radiation dosing in concurrent neoadjuvant chemoradiation for resectable esophageal cancer: a meta-analysis
9d8go2sl,10.1111/liv.14465,,,,Coronavirus disease 2019 and prevalence of chronic liver disease: A meta-analysis.,meta-analysis,Coronavirus disease 2019 and prevalence of chronic liver disease: A meta-analysis
ror17ybe,10.3109/13645706.2014.995675,,,,Single-incision versus conventional three-port laparoscopic appendectomy: A meta-analysis of randomized controlled trials.,meta-analysis,Single-incision versus conventional three-port laparoscopic appendectomy: A meta-analysis
navb52zq,10.1111/bcp.15251,,,,Bivalirudin versus Heparin in Pediatric and Adult Patients on Extracorporeal Membrane Oxygenation: A Meta-analysis.,Meta-analysis,Bivalirudin versus Heparin in Pediatric and Adult Patients on Extracorporeal Membrane Oxygenation: A Meta-analysis
2qvkgx8g,10.3390/cancers13092031,,,,Ductal Dilatation of ≥5 mm in Intraductal Papillary Mucinous Neoplasm Should Trigger the Consideration for Pancreatectomy: A Meta-Analysis and Systematic Review of Resected Cases.,Meta-Analysis,Should Trigger the Consideration for Pancreatectomy: A Meta-Analysis
m7hihuda,10.1177/2048872615572599,,,,"Bivalirudin versus heparin with or without glycoprotein IIb/IIIa inhibitors in patients with STEMI undergoing primary PCI: An updated meta-analysis of 10,350 patients from five randomized clinical trials.",meta-analysis,Bivalirudin versus heparin with or without glycoprotein IIb/IIIa inhibitors in patients with STEMI undergoing primary PCI: An updated meta-analysis
5m4r8lif,10.1007/s12630-018-1065-7,,,,Intraoperative cerebral oximetry-based management for optimizing perioperative outcomes: a meta-analysis of randomized controlled trials.,meta-analysis,oximetry-based management for optimizing perioperative outcomes: a meta-analysis
9x41qr7u,10.1007/s10549-019-05352-3,,,,Muscle composition and outcomes in patients with breast cancer: meta-analysis and systematic review.,meta-analysis,Muscle composition and outcomes in patients with breast cancer: meta-analysis
8l5ggfhc,10.1016/j.carrev.2020.08.011,,,,Anticoagulation with or without antiplatelet therapy following transcatheter aortic valve replacement for patients with atrial fibrillation: A meta-analysis.,meta-analysis,Anticoagulation with or without antiplatelet therapy following transcatheter aortic valve replacement for patients with atrial fibrillation: A meta-analysis
30hrby2e,10.1007/s00415-021-10724-1,,,,Risk factors of impulsive-compulsive behaviors in PD patients: a meta-analysis.,meta-analysis,Risk factors of impulsive-compulsive behaviors in PD patients: a meta-analysis
2psmsosj,10.2105/ajph.2020.305963,,,,RiskScape: A Data Visualization and Aggregation Platform for Public Health Surveillance Using Routine Electronic Health Record Data.,Platform,RiskScape: A Data Visualization and Aggregation Platform
fg69m7o0,10.1515/cclm-2020-0369,,,,"Hematologic, biochemical and immune biomarker abnormalities associated with severe illness and mortality in coronavirus disease 2019 (COVID-19): a meta-analysis.",meta-analysis,and immune biomarker abnormalities associated with severe illness and mortality in coronavirus disease 2019 (COVID-19): a meta-analysis
rcfpnezk,10.1007/s40256-021-00504-7,,,,De-escalation from Prasugrel or Ticagrelor to Clopidogrel in Patients with Acute Coronary Syndrome Managed with Percutaneous Coronary Intervention: An Updated Meta-analysis of Randomized Clinical Trials.,Meta-analysis,De-escalation from Prasugrel or Ticagrelor to Clopidogrel in Patients with Acute Coronary Syndrome Managed with Percutaneous Coronary Intervention: An Updated Meta-analysis
zic27vcb,10.4143/crt.2020.624,,,,Green Tea Consumption and Stomach Cancer Risk in Women: A Meta-analysis of Population-based Cohort Studies.,Meta-analysis,Green Tea Consumption and Stomach Cancer Risk in Women: A Meta-analysis
lboxgqnx,10.1002/hon.2959,,,,Cardiotoxicity As An Adverse Effect Of Immunomodulatory Drugs And Proteasome Inhibitors In Multiple Myeloma: A Network Meta-analysis Of Randomized Clinical Trials.,Meta-analysis,Cardiotoxicity As An Adverse Effect Of Immunomodulatory Drugs And Proteasome Inhibitors In Multiple Myeloma: A Network Meta-analysis
qit8lgd3,10.1093/bjsopen/zraa066,,,,Virtual reality simulation in robot-assisted surgery: meta-analysis of skill transfer and predictability of skill.,meta-analysis,Virtual reality simulation in robot-assisted surgery: meta-analysis
cnin2jss,10.1016/j.psyneuen.2017.08.008,,,,"Yoga, mindfulness-based stress reduction and stress-related physiological measures: A meta-analysis.",meta-analysis,"Yoga, mindfulness-based stress reduction and stress-related physiological measures: A meta-analysis"
eww9v6b6,10.1111/jns.12419,,,,Guillain-Barré syndrome associated with SARS-CoV-2 infection: a systematic review and individual participant data meta-analysis.,individual participant data; individual participant data meta-analysis,Guillain-Barré syndrome associated with SARS-CoV-2 infection: a systematic review and individual participant data
p3yxqgpp,10.1186/s12888-020-02839-y,,,,Comparative efficacy of placebos in short-term antidepressant trials for major depression: a secondary meta-analysis of placebo-controlled trials.,meta-analysis,Comparative efficacy of placebos in short-term antidepressant trials for major depression: a secondary meta-analysis
3ubdnts6,10.1111/ane.13374,,,,CTP-guided reperfusion therapy in acute ischemic stroke: a meta-analysis.,meta-analysis,-guided reperfusion therapy in acute ischemic stroke: a meta-analysis
symsz03c,10.4414/smw.2021.20524,,,,A case study of short-term forecasting during the COVID-19 pandemic: the platform icumonitoring.ch.,platform,A case study of short-term forecasting during the COVID-19 pandemic: the platform
o309as3y,10.1016/j.drudis.2021.09.018,,,,dbDNA™: an advanced platform for genetic medicines.,platform,dbDNA™: an advanced platform
mtnn8nbl,10.1136/bmjopen-2020-037566,,,,Comprehensive database and individual patient data meta-analysis of randomised controlled trials on psychotherapies reducing suicidal thoughts and behaviour: study protocol.,meta-analysis,and individual patient data meta-analysis
8lxyx7mo,10.2337/dc20-2676,,,,"Diabetes and Overweight/Obesity Are Independent, Nonadditive Risk Factors for In-Hospital Severity of COVID-19: An International, Multicenter Retrospective Meta-analysis.",Meta-analysis,"COVID-19: An International, Multicenter Retrospective Meta-analysis"
xee1o19i,10.1093/ajh/hpz182,,,,Self-monitoring of blood pressure in patients with hypertension related multi-morbidity: Systematic review and individual patient data meta-analysis.,meta-analysis,and individual patient data meta-analysis
xa8i18rp,10.1177/15459683211017501,,,,Cognitive Recovery After Stroke: A Meta-analysis and Metaregression of Intervention and Cohort Studies.,Meta-analysis,Cognitive Recovery After Stroke: A Meta-analysis
blpnqnnk,10.1038/s41380-020-00951-9,,,,"The kynurenine pathway in major depressive disorder, bipolar disorder, and schizophrenia: a meta-analysis of 101 studies.",meta-analysis,"The kynurenine pathway in major depressive disorder, bipolar disorder, and schizophrenia: a meta-analysis"
yxfuimha,10.1016/j.jad.2020.06.016,,,,The association of HTR2A polymorphisms with obsessive-compulsive disorder and its subtypes: A meta-analysis.,meta-analysis,The association of HTR2A polymorphisms with obsessive-compulsive disorder and its subtypes: A meta-analysis
o23oxzb2,10.1016/j.eclinm.2021.100836,,,,Human papillomavirus vaccination uptake in low-and middle-income countries: a meta-analysis.,meta-analysis,Human papillomavirus vaccination uptake in low-and middle-income countries: a meta-analysis
wsn05z5l,10.21037/tp-20-148,,,,The burden of respiratory syncytial virus associated with acute lower respiratory tract infections in Chinese children: a meta-analysis.,meta-analysis,The burden of respiratory syncytial virus associated with acute lower respiratory tract infections in Chinese children: a meta-analysis
jd5xhde0,10.1007/s00330-019-06171-2,,,,"Acute adverse events in cardiac MR imaging with gadolinium-based contrast agents: results from the European Society of Cardiovascular Radiology (ESCR) MRCT Registry in 72,839 patients.",Registry,contrast agents: results from the European Society of Cardiovascular Radiology (ESCR) MRCT Registry
qisv5g5z,10.1007/s00384-021-04075-6,,,,Prostate radiotherapy and the risk of secondary rectal cancer-a meta-analysis.,meta-analysis,of secondary rectal cancer-a meta-analysis
vcj00ocd,10.1186/s12882-022-02763-1,,,,The effect of renin-angiotensin-aldosterone system inhibitors on continuous and binary kidney outcomes in subgroups of patients with diabetes: a meta-analysis of randomized clinical trials.,meta-analysis,The effect of renin-angiotensin-aldosterone system inhibitors on continuous and binary kidney outcomes in subgroups of patients with diabetes: a meta-analysis
9mjl0h4f,10.1002/acn3.50909,,,,Neurologic complications after allogeneic transplantation: a meta-analysis.,meta-analysis,Neurologic complications after allogeneic transplantation: a meta-analysis
rw45sa1y,10.1007/s11136-020-02519-0,,,,Health-related quality of life scores of typically developing children and adolescents around the world: a meta-analysis with meta-regression.,meta-analysis,Health-related quality of life scores of typically developing children and adolescents around the world: a meta-analysis
y3okb387,10.3233/shti210330,,,,EARS - A WHO Platform for AI-Supported Real-Time Online Social Listening of COVID-19 Conversations.,Platform,EARS - A WHO Platform
hmef57z0,10.1016/j.schres.2021.04.002,,,,The alliance-outcome relationship in individual psychosocial treatment for schizophrenia and early psychosis: A meta-analysis.,meta-analysis,alliance-outcome relationship in individual psychosocial treatment for schizophrenia and early psychosis: A meta-analysis
z6gka0l3,10.17219/acem/146273,,,,Impact of diabetes on clinical and safety outcomes in acute ischemic stroke patients receiving reperfusion therapy: A meta-analysis.,meta-analysis,Impact of diabetes on clinical and safety outcomes in acute ischemic stroke patients receiving reperfusion therapy: A meta-analysis
t8yhbn3r,10.1016/j.neubiorev.2021.10.027,,,,Neural basis of in-group bias and prejudices: a systematic meta-analysis.,meta-analysis,Neural basis of in-group bias and prejudices: a systematic meta-analysis
clt98h93,10.1177/1073191121994164,,,,The Fear of COVID-19 Scale: A Reliability Generalization Meta-Analysis.,Meta-Analysis,The Fear of COVID-19 Scale: A Reliability Generalization Meta-Analysis
9ht5foci,10.1038/s41598-020-64405-6,,,,The diagnostic accuracy of lung auscultation in adult patients with acute pulmonary pathologies: a meta-analysis.,meta-analysis,The diagnostic accuracy of lung auscultation in adult patients with acute pulmonary pathologies: a meta-analysis
39370wul,10.1159/000487944,,,,Conventional versus Single Port Laparoscopy for the Surgical Treatment of Ectopic Pregnancy: A Meta-Analysis.,Meta-Analysis,Conventional versus Single Port Laparoscopy for the Surgical Treatment of Ectopic Pregnancy: A Meta-Analysis
e5fsutn8,10.1161/strokeaha.116.014096,,,,"Leukoaraiosis, Cerebral Hemorrhage, and Outcome After Intravenous Thrombolysis for Acute Ischemic Stroke: A Meta-Analysis (v1).",Meta-Analysis,"Leukoaraiosis, Cerebral Hemorrhage, and Outcome After Intravenous Thrombolysis for Acute Ischemic Stroke: A Meta-Analysis"
w5tosfdp,10.5582/bst.2020.03082,,,,Neuropsychiatric adverse events of chloroquine: a real-world pharmacovigilance study using the FDA Adverse Event Reporting System (FAERS) database.,database,Adverse Event Reporting System (FAERS) database
j90uhkis,10.1007/s11136-021-02858-6,,,,The handgrip strength and risk of depressive symptoms: a meta-analysis of prospective cohort studies.,meta-analysis,The handgrip strength and risk of depressive symptoms: a meta-analysis
vy85zguq,10.1177/1359105319860185,,,,Stress management interventions for multiple sclerosis: A meta-analysis of randomized controlled trials.,meta-analysis,Stress management interventions for multiple sclerosis: A meta-analysis
gskb7szp,10.1177/0885066620957596,,,,"Etomidate, Adrenal Insufficiency and Mortality Associated With Severity of Illness: A Meta-Analysis.",Meta-Analysis,"Etomidate, Adrenal Insufficiency and Mortality Associated With Severity of Illness: A Meta-Analysis"
bmx62skk,10.1097/coc.0000000000000514,,,,Effect of Neutropenic Diet on Infection Rates in Cancer Patients With Neutropenia: A Meta-analysis of Randomized Controlled Trials.,Meta-analysis,Effect of Neutropenic Diet on Infection Rates in Cancer Patients With Neutropenia: A Meta-analysis
hkbv4jtz,10.1002/jmv.26498,,,,Mortality of COVID-19 with preadmission metformin use in patients with diabetes: a meta-analysis.,meta-analysis,Mortality of COVID-19 with preadmission metformin use in patients with diabetes: a meta-analysis
xypcgpk4,10.1080/0167482x.2021.1885025,,,,Anxiety among fathers during the prenatal and postpartum period: a meta-analysis.,meta-analysis,Anxiety among fathers during the prenatal and postpartum period: a meta-analysis
nd7yw9ec,10.1039/d0an01226b,,,,RespiDisk: a point-of-care platform for fully automated detection of respiratory tract infection pathogens in clinical samples.,platform,RespiDisk: a point-of-care platform
